x_m,y_m,z_m,psi_rad,gamma_n,mode_id,hit_count
-0.91,-0.86,0.16,3.14159,153.368,1,2
-0.91,-0.85,0.16,-3.14159,152.269,1,2
-0.91,-0.84,0.16,-3.14159,151.179,1,2
-0.91,-0.83,0.16,3.14159,150.098,1,4
-0.91,-0.82,0.16,-3.14159,147.969,1,2
-0.91,-0.81,0.16,3.14159,146.922,1,2
-0.91,-0.8,0.16,3.14159,145.887,1,2
-0.91,-0.79,0.16,-3.14159,144.866,1,2
-0.91,-0.78,0.16,-3.14159,143.859,1,4
-0.91,-0.77,0.16,-3.14159,141.888,1,2
-0.91,-0.76,0.16,-3.14159,140.925,1,2
-0.91,-0.75,0.16,3.14159,139.977,1,2
-0.91,-0.74,0.16,3.14159,139.044,1,2
-0.91,-0.73,0.16,-3.14159,138.127,1,2
-0.91,-0.72,0.16,-3.14159,137.226,1,4
-0.91,-0.71,0.16,3.14159,135.472,1,2
-0.91,-0.7,0.16,-3.14159,134.619,1,2
-0.91,-0.69,0.16,3.14159,133.782,1,2
-0.91,-0.68,0.16,3.14159,132.961,1,2
-0.91,-0.67,0.16,3.14159,132.156,1,2
-0.91,-0.66,0.16,3.14159,131.367,1,4
-0.91,-0.65,0.16,-3.14159,129.836,1,2
-0.91,-0.64,0.16,-3.14159,129.095,1,2
-0.91,-0.63,0.16,3.14159,128.369,1,2
-0.91,-0.62,0.16,3.14159,127.658,1,2
-0.91,-0.61,0.16,3.14159,126.963,1,4
-0.91,-0.6,0.16,3.14159,125.618,1,2
-0.91,-0.59,0.16,3.14159,124.968,1,2
-0.91,-0.58,0.16,3.14159,124.333,1,2
-0.91,-0.57,0.16,3.14159,123.713,1,2
-0.91,-0.56,0.16,3.14159,123.107,1,2
-0.91,-0.55,0.16,-3.14159,122.515,1,4
-0.91,-0.54,0.16,3.14159,121.375,1,2
-0.91,-0.53,0.16,3.14159,120.825,1,2
-0.91,-0.52,0.16,3.14159,120.289,1,2
-0.91,-0.51,0.16,3.14159,119.767,1,2
-0.91,-0.5,0.16,3.14159,119.258,1,2
-0.91,-0.49,0.16,3.14159,118.763,1,4
-0.91,-0.48,0.16,3.14159,117.811,1,2
-0.91,-0.47,0.16,3.14159,117.354,1,2
-0.91,-0.46,0.16,3.14159,116.91,1,2
-0.91,-0.45,0.16,-3.14159,116.478,1,2
-0.91,-0.44,0.16,-3.14159,116.058,1,4
-0.91,-0.43,0.16,-3.14159,115.256,1,2
-0.91,-0.42,0.16,-3.14159,114.873,1,2
-0.91,-0.41,0.16,3.14159,114.502,1,2
-0.91,-0.4,0.16,3.14159,114.142,1,2
-0.91,-0.39,0.16,3.14159,113.794,1,2
-0.91,-0.38,0.16,-3.14159,113.458,1,4
-0.91,-0.37,0.16,3.14159,112.818,1,2
-0.91,-0.36,0.16,3.14159,112.516,1,2
-0.91,-0.35,0.16,3.14159,112.224,1,2
-0.91,-0.34,0.16,3.14159,111.943,1,2
-0.91,-0.33,0.16,3.14159,111.672,1,2
-0.91,-0.32,0.16,3.14159,111.413,1,4
-0.91,-0.31,0.16,3.14159,110.926,1,2
-0.91,-0.3,0.16,-3.14159,110.698,1,2
-0.91,-0.29,0.16,-3.14159,110.481,1,2
-0.91,-0.28,0.16,-3.14159,110.274,1,2
-0.91,-0.27,0.16,-3.14159,110.077,1,4
-0.91,-0.26,0.16,-3.14159,109.714,1,2
-0.91,-0.25,0.16,-3.14159,109.548,1,2
-0.91,-0.24,0.16,-3.14159,109.391,1,2
-0.91,-0.23,0.16,-3.14159,109.245,1,2
-0.91,-0.22,0.16,-3.14159,109.109,1,2
-0.91,-0.21,0.16,-3.14159,108.982,1,4
-0.91,-0.2,0.16,-3.14159,108.759,1,2
-0.91,-0.19,0.16,-3.14159,108.662,1,2
-0.91,-0.18,0.16,-3.14159,108.574,1,2
-0.91,-0.17,0.16,-3.14159,108.497,1,2
-0.91,-0.16,0.16,-3.14159,108.429,1,2
-0.91,-0.15,0.16,-3.14159,108.371,1,4
-0.91,-0.14,0.16,3.14159,108.284,1,2
-0.91,-0.13,0.16,3.14159,108.255,1,2
-0.91,-0.12,0.16,3.14159,108.236,1,2
-0.91,-0.11,0.16,3.14159,108.227,1,2
-0.91,-0.1,0.16,3.14159,108.237,1,4
-0.91,-0.09,0.16,3.14159,108.257,1,2
-0.91,-0.08,0.16,3.14159,108.287,1,2
-0.91,-0.07,0.16,3.14159,108.327,1,2
-0.91,-0.06,0.16,3.14159,108.376,1,2
-0.91,-0.05,0.16,3.14159,108.436,1,2
-0.91,-0.04,0.16,3.14159,108.584,1,4
-0.91,-0.03,0.16,3.14159,108.674,1,2
-0.91,-0.02,0.16,3.14159,108.774,1,2
-0.91,-0.01,0.16,-3.14159,108.883,1,2
-0.91,0,0.16,-3.14159,108.774,1,2
-0.91,0.01,0.16,-3.14159,108.674,1,2
-0.91,0.02,0.16,-3.14159,108.584,1,4
-0.91,0.03,0.16,-3.14159,108.436,1,2
-0.91,0.04,0.16,-3.14159,108.376,1,2
-0.91,0.05,0.16,-3.14159,108.327,1,2
-0.91,0.06,0.16,-3.14159,108.287,1,2
-0.91,0.07,0.16,-3.14159,108.257,1,4
-0.91,0.08,0.16,-3.14159,108.227,1,2
-0.91,0.09,0.16,-3.14159,108.227,1,2
-0.91,0.1,0.16,-3.14159,108.236,1,2
-0.91,0.11,0.16,-3.14159,108.255,1,2
-0.91,0.12,0.16,-3.14159,108.284,1,2
-0.91,0.13,0.16,-3.14159,108.371,1,4
-0.91,0.14,0.16,-3.14159,108.429,1,2
-0.91,0.15,0.16,-3.14159,108.497,1,2
-0.91,0.16,0.16,-3.14159,108.574,1,2
-0.91,0.17,0.16,-3.14159,108.662,1,2
-0.91,0.18,0.16,-3.14159,108.759,1,2
-0.91,0.19,0.16,-3.14159,108.982,1,4
-0.91,0.2,0.16,-3.14159,109.109,1,2
-0.91,0.21,0.16,-3.14159,109.245,1,2
-0.91,0.22,0.16,-3.14159,109.391,1,2
-0.91,0.23,0.16,-3.14159,109.548,1,2
-0.91,0.24,0.16,-3.14159,109.891,1,4
-0.91,0.25,0.16,-3.14159,110.077,1,2
-0.91,0.26,0.16,-3.14159,110.274,1,2
-0.91,0.27,0.16,-3.14159,110.481,1,2
-0.91,0.28,0.16,-3.14159,110.698,1,2
-0.91,0.29,0.16,3.14159,110.926,1,2
-0.91,0.3,0.16,3.14159,111.413,1,4
-0.91,0.31,0.16,3.14159,111.672,1,2
-0.91,0.32,0.16,3.14159,111.943,1,2
-0.91,0.33,0.16,3.14159,112.224,1,2
-0.91,0.34,0.16,3.14159,112.515,1,2
-0.91,0.35,0.16,3.14159,112.818,1,2
-0.91,0.36,0.16,3.14159,113.458,1,4
-0.91,0.37,0.16,3.14159,113.794,1,2
-0.91,0.38,0.16,3.14159,114.142,1,2
-0.91,0.39,0.16,3.14159,114.502,1,2
-0.91,0.4,0.16,3.14159,114.873,1,2
-0.91,0.41,0.16,3.14159,115.651,1,4
-0.91,0.42,0.16,3.14159,116.058,1,2
-0.91,0.43,0.16,3.14159,116.478,1,2
-0.91,0.44,0.16,3.14159,116.909,1,2
-0.91,0.45,0.16,3.14159,117.354,1,2
-0.91,0.46,0.16,3.14159,117.81,1,2
-0.91,0.47,0.16,3.14159,118.763,1,4
-0.91,0.48,0.16,3.14159,119.258,1,2
-0.91,0.49,0.16,-3.14159,119.767,1,2
-0.91,0.5,0.16,-3.14159,120.289,1,2
-0.91,0.51,0.16,-3.14159,120.825,1,2
-0.91,0.52,0.16,3.14159,121.375,1,2
-0.91,0.53,0.16,-3.14159,122.516,1,4
-0.91,0.54,0.16,-3.14159,123.107,1,2
-0.91,0.55,0.16,-3.14159,123.713,1,2
-0.91,0.56,0.16,-3.14159,124.334,1,2
-0.91,0.57,0.16,-3.14159,124.969,1,2
-0.91,0.58,0.16,-3.14159,126.283,1,4
-0.91,0.59,0.16,-3.14159,126.963,1,2
-0.91,0.6,0.16,3.14159,127.658,1,2
-0.91,0.61,0.16,3.14159,128.369,1,2
-0.91,0.62,0.16,3.14159,129.095,1,2
-0.91,0.63,0.16,-3.14159,129.837,1,2
-0.91,0.64,0.16,3.14159,131.367,1,4
-0.91,0.65,0.16,3.14159,132.156,1,2
-0.91,0.66,0.16,3.14159,132.961,1,2
-0.91,0.67,0.16,3.14159,133.782,1,2
-0.91,0.68,0.16,3.14159,134.619,1,2
-0.91,0.69,0.16,-3.14159,135.472,1,2
-0.91,0.7,0.16,3.14159,137.226,1,4
-0.91,0.71,0.16,-3.14159,138.127,1,2
-0.91,0.72,0.16,3.14159,139.044,1,2
-0.91,0.73,0.16,3.14159,139.976,1,2
-0.91,0.74,0.16,3.14159,140.924,1,2
-0.91,0.75,0.16,-3.14159,142.866,1,4
-0.91,0.76,0.16,3.14159,143.859,1,2
-0.91,0.77,0.16,3.14159,144.866,1,2
-0.91,0.78,0.16,-3.14159,145.887,1,2
-0.91,0.79,0.16,3.14159,146.921,1,2
-0.91,0.8,0.16,-3.14159,147.969,1,2
-0.91,0.81,0.16,-3.14159,150.098,1,4
-0.91,0.82,0.16,-3.14159,151.179,1,2
-0.91,0.83,0.16,3.14159,152.269,1,2
-0.91,0.84,0.16,3.14159,153.368,1,2
-0.9,-0.86,0.16,-3.14159,152.269,1,2
-0.9,-0.85,0.16,3.14159,153.752,1,2
-0.9,-0.84,0.16,-3.14159,152.699,1,2
-0.9,-0.83,0.16,-3.14159,151.653,1,4
-0.9,-0.82,0.16,-3.14159,149.589,1,2
-0.9,-0.81,0.16,3.14159,148.573,1,2
-0.9,-0.8,0.16,-3.14159,147.568,1,2
-0.9,-0.79,0.16,3.14159,146.576,1,2
-0.9,-0.78,0.16,-3.14159,145.595,1,4
-0.9,-0.77,0.16,-3.14159,143.674,1,2
-0.9,-0.76,0.16,3.14159,142.734,1,2
-0.9,-0.75,0.16,3.14159,141.809,1,2
-0.9,-0.74,0.16,3.14159,140.897,1,2
-0.9,-0.73,0.16,3.14159,140.001,1,2
-0.9,-0.72,0.16,3.14159,139.119,1,4
-0.9,-0.71,0.16,-3.14159,137.4,1,2
-0.9,-0.7,0.16,-3.14159,136.564,1,2
-0.9,-0.69,0.16,-3.14159,135.742,1,2
-0.9,-0.68,0.16,-3.14159,134.936,1,2
-0.9,-0.67,0.16,-3.14159,134.145,1,2
-0.9,-0.66,0.16,-3.14159,133.37,1,4
-0.9,-0.65,0.16,-3.14159,131.865,1,2
-0.9,-0.64,0.16,3.14159,131.135,1,2
-0.9,-0.63,0.16,3.14159,130.42,1,2
-0.9,-0.62,0.16,-3.14159,129.72,1,2
-0.9,-0.61,0.16,-3.14159,129.035,1,4
-0.9,-0.6,0.16,-3.14159,127.708,1,2
-0.9,-0.59,0.16,3.14159,127.067,1,2
-0.9,-0.58,0.16,3.14159,126.44,1,2
-0.9,-0.57,0.16,3.14159,125.828,1,2
-0.9,-0.56,0.16,3.14159,125.229,1,2
-0.9,-0.55,0.16,3.14159,124.645,1,4
-0.9,-0.54,0.16,-3.14159,123.518,1,2
-0.9,-0.53,0.16,-3.14159,122.974,1,2
-0.9,-0.52,0.16,3.14159,122.445,1,2
-0.9,-0.51,0.16,3.14159,121.928,1,2
-0.9,-0.5,0.16,3.14159,121.425,1,2
-0.9,-0.49,0.16,3.14159,120.935,1,4
-0.9,-0.48,0.16,3.14159,119.993,1,2
-0.9,-0.47,0.16,3.14159,119.541,1,2
-0.9,-0.46,0.16,3.14159,119.101,1,2
-0.9,-0.45,0.16,-3.14159,118.674,1,2
-0.9,-0.44,0.16,-3.14159,118.259,1,4
-0.9,-0.43,0.16,-3.14159,117.465,1,2
-0.9,-0.42,0.16,3.14159,117.086,1,2
-0.9,-0.41,0.16,3.14159,116.718,1,2
-0.9,-0.4,0.16,3.14159,116.363,1,2
-0.9,-0.39,0.16,3.14159,116.018,1,2
-0.9,-0.38,0.16,3.14159,115.685,1,4
-0.9,-0.37,0.16,-3.14159,115.053,1,2
-0.9,-0.36,0.16,-3.14159,114.754,1,2
-0.9,-0.35,0.16,-3.14159,114.466,1,2
-0.9,-0.34,0.16,3.14159,114.188,1,2
-0.9,-0.33,0.16,-3.14159,113.921,1,2
-0.9,-0.32,0.16,-3.14159,113.665,1,4
-0.9,-0.31,0.16,-3.14159,113.185,1,2
-0.9,-0.3,0.16,-3.14159,112.961,1,2
-0.9,-0.29,0.16,-3.14159,112.747,1,2
-0.9,-0.28,0.16,-3.14159,112.543,1,2
-0.9,-0.27,0.16,3.14159,112.35,1,4
-0.9,-0.26,0.16,3.14159,111.994,1,2
-0.9,-0.25,0.16,3.14159,111.831,1,2
-0.9,-0.24,0.16,3.14159,111.679,1,2
-0.9,-0.23,0.16,3.14159,111.536,1,2
-0.9,-0.22,0.16,3.14159,111.403,1,2
-0.9,-0.21,0.16,3.14159,111.281,1,4
-0.9,-0.2,0.16,3.14159,111.065,1,2
-0.9,-0.19,0.16,3.14159,110.972,1,2
-0.9,-0.18,0.16,3.14159,110.888,1,2
-0.9,-0.17,0.16,3.14159,110.815,1,2
-0.9,-0.16,0.16,3.14159,110.751,1,2
-0.9,-0.15,0.16,3.14159,110.698,1,4
-0.9,-0.14,0.16,3.14159,110.62,1,2
-0.9,-0.13,0.16,3.14159,110.595,1,2
-0.9,-0.12,0.16,3.14159,110.581,1,2
-0.9,-0.11,0.16,3.14159,110.576,1,2
-0.9,-0.1,0.16,3.14159,110.596,1,4
-0.9,-0.09,0.16,3.14159,110.621,1,2
-0.9,-0.08,0.16,3.14159,110.656,1,2
-0.9,-0.07,0.16,3.14159,110.701,1,2
-0.9,-0.06,0.16,3.14159,110.756,1,2
-0.9,-0.05,0.16,3.14159,110.821,1,2
-0.9,-0.04,0.16,3.14159,110.981,1,4
-0.9,-0.03,0.16,3.14159,111.076,1,2
-0.9,-0.02,0.16,3.14159,111.182,1,2
-0.9,-0.01,0.16,-3.14159,111.298,1,2
-0.9,0,0.16,3.14159,111.182,1,2
-0.9,0.01,0.16,-3.14159,111.076,1,2
-0.9,0.02,0.16,3.14159,110.981,1,4
-0.9,0.03,0.16,3.14159,110.821,1,2
-0.9,0.04,0.16,3.14159,110.756,1,2
-0.9,0.05,0.16,3.14159,110.701,1,2
-0.9,0.06,0.16,3.14159,110.656,1,2
-0.9,0.07,0.16,3.14159,110.621,1,4
-0.9,0.08,0.16,3.14159,110.581,1,2
-0.9,0.09,0.16,3.14159,110.576,1,2
-0.9,0.1,0.16,-3.14159,110.581,1,2
-0.9,0.11,0.16,3.14159,110.595,1,2
-0.9,0.12,0.16,3.14159,110.62,1,2
-0.9,0.13,0.16,3.14159,110.698,1,4
-0.9,0.14,0.16,3.14159,110.751,1,2
-0.9,0.15,0.16,3.14159,110.815,1,2
-0.9,0.16,0.16,3.14159,110.888,1,2
-0.9,0.17,0.16,3.14159,110.972,1,2
-0.9,0.18,0.16,3.14159,111.065,1,2
-0.9,0.19,0.16,3.14159,111.281,1,4
-0.9,0.2,0.16,3.14159,111.403,1,2
-0.9,0.21,0.16,3.14159,111.536,1,2
-0.9,0.22,0.16,3.14159,111.679,1,2
-0.9,0.23,0.16,3.14159,111.831,1,2
-0.9,0.24,0.16,-3.14159,112.167,1,4
-0.9,0.25,0.16,-3.14159,112.35,1,2
-0.9,0.26,0.16,3.14159,112.543,1,2
-0.9,0.27,0.16,3.14159,112.747,1,2
-0.9,0.28,0.16,3.14159,112.961,1,2
-0.9,0.29,0.16,3.14159,113.185,1,2
-0.9,0.3,0.16,-3.14159,113.665,1,4
-0.9,0.31,0.16,-3.14159,113.921,1,2
-0.9,0.32,0.16,-3.14159,114.188,1,2
-0.9,0.33,0.16,-3.14159,114.466,1,2
-0.9,0.34,0.16,-3.14159,114.754,1,2
-0.9,0.35,0.16,3.14159,115.053,1,2
-0.9,0.36,0.16,3.14159,115.685,1,4
-0.9,0.37,0.16,3.14159,116.018,1,2
-0.9,0.38,0.16,3.14159,116.363,1,2
-0.9,0.39,0.16,3.14159,116.718,1,2
-0.9,0.4,0.16,3.14159,117.086,1,2
-0.9,0.41,0.16,3.14159,117.856,1,4
-0.9,0.42,0.16,-3.14159,118.259,1,2
-0.9,0.43,0.16,3.14159,118.674,1,2
-0.9,0.44,0.16,-3.14159,119.101,1,2
-0.9,0.45,0.16,-3.14159,119.541,1,2
-0.9,0.46,0.16,-3.14159,119.993,1,2
-0.9,0.47,0.16,-3.14159,120.935,1,4
-0.9,0.48,0.16,-3.14159,121.425,1,2
-0.9,0.49,0.16,-3.14159,121.928,1,2
-0.9,0.5,0.16,-3.14159,122.445,1,2
-0.9,0.51,0.16,3.14159,122.975,1,2
-0.9,0.52,0.16,3.14159,123.518,1,2
-0.9,0.53,0.16,-3.14159,124.645,1,4
-0.9,0.54,0.16,-3.14159,125.23,1,2
-0.9,0.55,0.16,-3.14159,125.828,1,2
-0.9,0.56,0.16,-3.14159,126.441,1,2
-0.9,0.57,0.16,-3.14159,127.067,1,2
-0.9,0.58,0.16,3.14159,128.364,1,4
-0.9,0.59,0.16,3.14159,129.034,1,2
-0.9,0.6,0.16,3.14159,129.72,1,2
-0.9,0.61,0.16,-3.14159,130.42,1,2
-0.9,0.62,0.16,3.14159,131.135,1,2
-0.9,0.63,0.16,3.14159,131.864,1,2
-0.9,0.64,0.16,3.14159,133.37,1,4
-0.9,0.65,0.16,3.14159,134.145,1,2
-0.9,0.66,0.16,3.14159,134.936,1,2
-0.9,0.67,0.16,-3.14159,135.742,1,2
-0.9,0.68,0.16,-3.14159,136.564,1,2
-0.9,0.69,0.16,3.14159,137.4,1,2
-0.9,0.7,0.16,-3.14159,139.119,1,4
-0.9,0.71,0.16,-3.14159,140,1,2
-0.9,0.72,0.16,3.14159,140.897,1,2
-0.9,0.73,0.16,-3.14159,141.809,1,2
-0.9,0.74,0.16,-3.14159,142.734,1,2
-0.9,0.75,0.16,-3.14159,144.628,1,4
-0.9,0.76,0.16,-3.14159,145.595,1,2
-0.9,0.77,0.16,-3.14159,146.576,1,2
-0.9,0.78,0.16,3.14159,147.569,1,2
-0.9,0.79,0.16,3.14159,148.573,1,2
-0.9,0.8,0.16,3.14159,149.59,1,2
-0.9,0.81,0.16,-3.14159,151.653,1,4
-0.9,0.82,0.16,-3.14159,152.699,1,2
-0.9,0.83,0.16,3.14159,153.752,1,2
-0.9,0.84,0.16,3.14159,152.269,1,2
-0.89,-0.86,0.16,3.14159,151.179,1,2
-0.89,-0.85,0.16,3.14159,152.699,1,2
-0.89,-0.84,0.16,3.14159,154.143,1,2
-0.89,-0.83,0.16,3.14159,153.132,1,4
-0.89,-0.82,0.16,-3.14159,151.134,1,2
-0.89,-0.81,0.16,-3.14159,150.149,1,2
-0.89,-0.8,0.16,-3.14159,149.174,1,2
-0.89,-0.79,0.16,-3.14159,148.209,1,2
-0.89,-0.78,0.16,3.14159,147.256,1,4
-0.89,-0.77,0.16,3.14159,145.386,1,2
-0.89,-0.76,0.16,3.14159,144.47,1,2
-0.89,-0.75,0.16,-3.14159,143.567,1,2
-0.89,-0.74,0.16,-3.14159,142.677,1,2
-0.89,-0.73,0.16,3.14159,141.801,1,2
-0.89,-0.72,0.16,3.14159,140.939,1,4
-0.89,-0.71,0.16,3.14159,139.257,1,2
-0.89,-0.7,0.16,3.14159,138.438,1,2
-0.89,-0.69,0.16,3.14159,137.633,1,2
-0.89,-0.68,0.16,-3.14159,136.842,1,2
-0.89,-0.67,0.16,3.14159,136.066,1,2
-0.89,-0.66,0.16,-3.14159,135.305,1,4
-0.89,-0.65,0.16,-3.14159,133.826,1,2
-0.89,-0.64,0.16,-3.14159,133.108,1,2
-0.89,-0.63,0.16,3.14159,132.405,1,2
-0.89,-0.62,0.16,-3.14159,131.716,1,2
-0.89,-0.61,0.16,-3.14159,131.042,1,4
-0.89,-0.6,0.16,3.14159,129.736,1,2
-0.89,-0.59,0.16,3.14159,129.104,1,2
-0.89,-0.58,0.16,3.14159,128.486,1,2
-0.89,-0.57,0.16,3.14159,127.882,1,2
-0.89,-0.56,0.16,-3.14159,127.292,1,2
-0.89,-0.55,0.16,-3.14159,126.715,1,4
-0.89,-0.54,0.16,-3.14159,125.603,1,2
-0.89,-0.53,0.16,-3.14159,125.066,1,2
-0.89,-0.52,0.16,-3.14159,124.543,1,2
-0.89,-0.51,0.16,3.14159,124.033,1,2
-0.89,-0.5,0.16,3.14159,123.536,1,2
-0.89,-0.49,0.16,-3.14159,123.052,1,4
-0.89,-0.48,0.16,-3.14159,122.121,1,2
-0.89,-0.47,0.16,-3.14159,121.674,1,2
-0.89,-0.46,0.16,-3.14159,121.24,1,2
-0.89,-0.45,0.16,-3.14159,120.817,1,2
-0.89,-0.44,0.16,-3.14159,120.407,1,4
-0.89,-0.43,0.16,-3.14159,119.623,1,2
-0.89,-0.42,0.16,3.14159,119.248,1,2
-0.89,-0.41,0.16,3.14159,118.885,1,2
-0.89,-0.4,0.16,3.14159,118.534,1,2
-0.89,-0.39,0.16,-3.14159,118.194,1,2
-0.89,-0.38,0.16,-3.14159,117.865,1,4
-0.89,-0.37,0.16,-3.14159,117.241,1,2
-0.89,-0.36,0.16,-3.14159,116.945,1,2
-0.89,-0.35,0.16,-3.14159,116.661,1,2
-0.89,-0.34,0.16,-3.14159,116.387,1,2
-0.89,-0.33,0.16,-3.14159,116.124,1,2
-0.89,-0.32,0.16,3.14159,115.872,1,4
-0.89,-0.31,0.16,-3.14159,115.4,1,2
-0.89,-0.3,0.16,-3.14159,115.179,1,2
-0.89,-0.29,0.16,-3.14159,114.969,1,2
-0.89,-0.28,0.16,3.14159,114.769,1,2
-0.89,-0.27,0.16,3.14159,114.58,1,4
-0.89,-0.26,0.16,3.14159,114.232,1,2
-0.89,-0.25,0.16,3.14159,114.073,1,2
-0.89,-0.24,0.16,-3.14159,113.924,1,2
-0.89,-0.23,0.16,-3.14159,113.785,1,2
-0.89,-0.22,0.16,-3.14159,113.657,1,2
-0.89,-0.21,0.16,-3.14159,113.538,1,4
-0.89,-0.2,0.16,-3.14159,113.33,1,2
-0.89,-0.19,0.16,-3.14159,113.241,1,2
-0.89,-0.18,0.16,-3.14159,113.162,1,2
-0.89,-0.17,0.16,-3.14159,113.093,1,2
-0.89,-0.16,0.16,-3.14159,113.034,1,2
-0.89,-0.15,0.16,-3.14159,112.985,1,4
-0.89,-0.14,0.16,-3.14159,112.916,1,2
-0.89,-0.13,0.16,-3.14159,112.896,1,2
-0.89,-0.12,0.16,-3.14159,112.887,1,2
-0.89,-0.11,0.16,-3.14159,112.887,1,2
-0.89,-0.1,0.16,-3.14159,112.917,1,4
-0.89,-0.09,0.16,-3.14159,112.947,1,2
-0.89,-0.08,0.16,-3.14159,112.988,1,2
-0.89,-0.07,0.16,-3.14159,113.038,1,2
-0.89,-0.06,0.16,-3.14159,113.098,1,2
-0.89,-0.05,0.16,-3.14159,113.169,1,2
-0.89,-0.04,0.16,-3.14159,113.341,1,4
-0.89,-0.03,0.16,-3.14159,113.442,1,2
-0.89,-0.02,0.16,-3.14159,113.554,1,2
-0.89,-0.01,0.16,3.14159,113.676,1,2
-0.89,0,0.16,3.14159,113.554,1,2
-0.89,0.01,0.16,-3.14159,113.442,1,2
-0.89,0.02,0.16,3.14159,113.341,1,4
-0.89,0.03,0.16,-3.14159,113.169,1,2
-0.89,0.04,0.16,-3.14159,113.098,1,2
-0.89,0.05,0.16,-3.14159,113.038,1,2
-0.89,0.06,0.16,-3.14159,112.987,1,2
-0.89,0.07,0.16,-3.14159,112.947,1,4
-0.89,0.08,0.16,-3.14159,112.897,1,2
-0.89,0.09,0.16,-3.14159,112.887,1,2
-0.89,0.1,0.16,-3.14159,112.887,1,2
-0.89,0.11,0.16,-3.14159,112.896,1,2
-0.89,0.12,0.16,-3.14159,112.916,1,2
-0.89,0.13,0.16,-3.14159,112.985,1,4
-0.89,0.14,0.16,-3.14159,113.034,1,2
-0.89,0.15,0.16,-3.14159,113.093,1,2
-0.89,0.16,0.16,-3.14159,113.162,1,2
-0.89,0.17,0.16,-3.14159,113.241,1,2
-0.89,0.18,0.16,-3.14159,113.33,1,2
-0.89,0.19,0.16,-3.14159,113.538,1,4
-0.89,0.2,0.16,3.14159,113.657,1,2
-0.89,0.21,0.16,-3.14159,113.785,1,2
-0.89,0.22,0.16,3.14159,113.924,1,2
-0.89,0.23,0.16,3.14159,114.073,1,2
-0.89,0.24,0.16,-3.14159,114.401,1,4
-0.89,0.25,0.16,3.14159,114.58,1,2
-0.89,0.26,0.16,-3.14159,114.769,1,2
-0.89,0.27,0.16,-3.14159,114.969,1,2
-0.89,0.28,0.16,-3.14159,115.179,1,2
-0.89,0.29,0.16,-3.14159,115.4,1,2
-0.89,0.3,0.16,-3.14159,115.872,1,4
-0.89,0.31,0.16,-3.14159,116.124,1,2
-0.89,0.32,0.16,3.14159,116.387,1,2
-0.89,0.33,0.16,3.14159,116.661,1,2
-0.89,0.34,0.16,-3.14159,116.945,1,2
-0.89,0.35,0.16,-3.14159,117.241,1,2
-0.89,0.36,0.16,-3.14159,117.865,1,4
-0.89,0.37,0.16,-3.14159,118.194,1,2
-0.89,0.38,0.16,-3.14159,118.534,1,2
-0.89,0.39,0.16,3.14159,118.885,1,2
-0.89,0.4,0.16,3.14159,119.248,1,2
-0.89,0.41,0.16,-3.14159,120.009,1,4
-0.89,0.42,0.16,-3.14159,120.407,1,2
-0.89,0.43,0.16,3.14159,120.818,1,2
-0.89,0.44,0.16,-3.14159,121.24,1,2
-0.89,0.45,0.16,3.14159,121.674,1,2
-0.89,0.46,0.16,3.14159,122.121,1,2
-0.89,0.47,0.16,-3.14159,123.052,1,4
-0.89,0.48,0.16,3.14159,123.536,1,2
-0.89,0.49,0.16,3.14159,124.033,1,2
-0.89,0.5,0.16,3.14159,124.543,1,2
-0.89,0.51,0.16,3.14159,125.067,1,2
-0.89,0.52,0.16,3.14159,125.603,1,2
-0.89,0.53,0.16,3.14159,126.716,1,4
-0.89,0.54,0.16,3.14159,127.292,1,2
-0.89,0.55,0.16,3.14159,127.882,1,2
-0.89,0.56,0.16,-3.14159,128.486,1,2
-0.89,0.57,0.16,-3.14159,129.104,1,2
-0.89,0.58,0.16,-3.14159,130.382,1,4
-0.89,0.59,0.16,3.14159,131.042,1,2
-0.89,0.6,0.16,3.14159,131.717,1,2
-0.89,0.61,0.16,-3.14159,132.405,1,2
-0.89,0.62,0.16,-3.14159,133.108,1,2
-0.89,0.63,0.16,-3.14159,133.826,1,2
-0.89,0.64,0.16,3.14159,135.305,1,4
-0.89,0.65,0.16,3.14159,136.066,1,2
-0.89,0.66,0.16,-3.14159,136.842,1,2
-0.89,0.67,0.16,3.14159,137.633,1,2
-0.89,0.68,0.16,-3.14159,138.438,1,2
-0.89,0.69,0.16,-3.14159,139.257,1,2
-0.89,0.7,0.16,-3.14159,140.939,1,4
-0.89,0.71,0.16,-3.14159,141.801,1,2
-0.89,0.72,0.16,3.14159,142.677,1,2
-0.89,0.73,0.16,-3.14159,143.567,1,2
-0.89,0.74,0.16,3.14159,144.47,1,2
-0.89,0.75,0.16,3.14159,146.315,1,4
-0.89,0.76,0.16,-3.14159,147.256,1,2
-0.89,0.77,0.16,3.14159,148.209,1,2
-0.89,0.78,0.16,3.14159,149.174,1,2
-0.89,0.79,0.16,-3.14159,150.149,1,2
-0.89,0.8,0.16,3.14159,151.135,1,2
-0.89,0.81,0.16,3.14159,153.132,1,4
-0.89,0.82,0.16,-3.14159,154.143,1,2
-0.89,0.83,0.16,-3.14159,152.699,1,2
-0.89,0.84,0.16,3.14159,151.179,1,2
-0.88,-0.86,0.16,3.14159,150.098,1,2
-0.88,-0.85,0.16,3.14159,151.653,1,2
-0.88,-0.84,0.16,3.14159,153.133,1,2
-0.88,-0.83,0.16,-3.14159,154.54,1,4
